Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,50.1,26.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7466.6,5.5%
0.176,1,48.7,11.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7463.9,5.5%
0.351,1,49.6,11.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7461.4,5.5%
0.527,1,49.6,11.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.8,5.6%
0.710,1,47.7,16.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.1,5.6%
0.939,1,48.7,14.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.6,5.6%
1.114,1,48.7,11.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.9,5.6%
1.290,1,48.7,11.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.0,5.6%
1.466,1,49.6,11.6%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7455.9,5.6%
1.675,1,49.6,16.8%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7455.9,5.6%
1.911,1,50.1,18.3%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7455.6,5.6%
2.154,1,49.6,13.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.4,5.6%
2.329,1,49.1,12.7%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7455.4,5.6%
2.505,1,49.1,10.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.5,5.6%
2.681,1,50.6,14.1%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7455.8,5.6%
2.891,1,50.1,15.4%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7455.7,5.6%
3.124,1,49.1,17.3%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7455.2,5.6%
3.367,1,49.1,14.5%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7455.6,5.6%
3.543,1,49.1,15.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.5,5.6%
3.719,1,50.6,12.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.3,5.6%
3.895,1,50.6,14.1%,0,800244160,250000496,0.8500,1.1000,1.1000,1.1000,7455.5,5.6%
4.105,1,49.6,17.0%,0,900175808,274680160,0.8500,1.1000,1.1000,1.1000,7455.6,5.6%
4.339,1,49.1,17.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.2,5.6%
4.581,1,49.6,11.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.2,5.6%
4.757,1,50.6,11.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7455.8,5.6%
4.933,1,49.6,15.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.4,5.6%
5.110,1,50.6,12.7%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7455.9,5.6%
5.321,1,49.6,16.8%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7456.3,5.6%
5.557,1,49.6,17.3%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7456.4,5.6%
5.793,1,50.1,13.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.4,5.6%
5.969,1,50.6,15.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.7,5.6%
6.145,1,50.1,11.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.7,5.6%
6.321,1,52.1,12.9%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7456.9,5.6%
6.534,1,50.1,17.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7457.8,5.6%
6.774,1,50.1,16.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.5,5.6%
6.950,1,49.6,13.9%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7459.5,5.6%
7.127,1,51.1,12.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7460.5,5.5%
7.302,1,49.6,14.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7462.6,5.5%
7.489,1,51.1,14.4%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7463.2,5.5%
7.713,1,50.6,14.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7462.1,5.5%
7.889,1,50.1,12.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7461.9,5.5%
8.65,1,50.1,11.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7460.9,5.5%
8.241,1,52.1,12.9%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7460.7,5.5%
8.455,1,51.6,24.5%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7458.9,5.6%
8.712,0,51.1,29.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7459.7,5.6%
8.892,0,50.6,15.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7463.6,5.5%
9.376,0,50.6,21.3%,0,700154304,224951664,0.8500,1.1000,1.1000,1.1000,7462.1,5.5%
9.613,0,51.1,18.6%,0,700154304,299768544,0.8500,1.1000,1.1000,1.1000,7462.2,5.5%
9.846,0,50.6,20.0%,0,1000265600,299768544,0.8500,1.1000,1.1000,1.1000,7460.8,5.5%
