Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,48.2,6.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7456.0,5.6%
0.234,1,46.7,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.8,5.6%
0.416,1,48.2,13.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7454.6,5.6%
0.599,1,47.2,11.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7453.5,5.6%
0.781,1,47.7,12.2%,0,800244160,250000496,0.8600,1.1000,1.1000,1.1000,7454.1,5.6%
1.14,1,47.2,16.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7453.6,5.6%
1.262,1,47.7,15.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7453.5,5.6%
1.444,1,47.7,12.5%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7456.0,5.6%
1.636,1,48.2,17.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7460.0,5.6%
1.819,1,48.2,15.1%,0,800191424,500000992,0.9260,1.1000,1.1000,1.1000,7459.5,5.6%
2.52,1,46.7,15.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.5,5.6%
2.235,1,49.6,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.4,5.6%
2.418,1,47.7,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.3,5.6%
2.600,1,47.7,13.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7459.1,5.6%
2.833,1,47.2,17.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.8,5.6%
3.82,1,48.2,16.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.5,5.6%
3.264,1,47.7,12.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.3,5.6%
3.447,1,47.7,13.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.9,5.6%
3.629,1,47.7,15.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7459.1,5.6%
3.868,1,48.2,17.8%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7458.6,5.6%
4.102,1,47.7,11.0%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7457.8,5.6%
4.285,1,47.7,14.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.6,5.6%
4.467,1,47.7,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.5,5.6%
4.649,1,48.2,14.1%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7460.7,5.5%
4.887,1,48.2,17.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7460.9,5.5%
5.122,1,47.7,12.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7460.6,5.5%
5.303,1,48.2,12.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7460.4,5.5%
5.485,1,49.1,11.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7460.7,5.5%
5.669,1,47.7,15.0%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7461.1,5.5%
5.905,1,48.2,16.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7461.8,5.5%
6.140,1,49.1,14.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7462.7,5.5%
6.322,1,48.2,11.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7462.9,5.5%
6.504,1,49.1,14.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.5,5.5%
6.685,1,48.2,13.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7463.7,5.5%
6.919,1,48.2,16.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.2,5.5%
7.158,1,48.2,15.4%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7464.6,5.5%
7.339,1,49.1,12.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7464.4,5.5%
7.522,1,49.1,10.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.6,5.5%
7.704,1,48.2,16.5%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7464.8,5.5%
7.939,1,49.6,16.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7465.0,5.5%
8.177,1,48.2,14.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7465.3,5.5%
8.358,1,49.1,11.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7465.5,5.5%
8.540,1,48.2,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.8,5.5%
8.723,1,48.2,15.4%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7464.6,5.5%
8.957,1,48.2,17.8%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.0,5.5%
9.196,1,49.1,16.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.3,5.5%
9.378,1,48.7,11.1%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7464.7,5.5%
9.562,1,48.7,11.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.4,5.5%
9.744,1,49.1,16.5%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7463.6,5.5%
9.979,1,48.7,17.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7460.9,5.5%
10.224,1,49.6,14.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7460.2,5.5%
10.405,1,49.1,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.6,5.6%
10.588,1,48.2,14.9%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7458.5,5.6%
10.770,1,48.7,13.7%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7458.0,5.6%
11.11,1,49.1,18.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.8,5.6%
11.243,1,48.7,13.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7456.8,5.6%
11.425,1,49.6,12.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7456.5,5.6%
11.607,1,50.1,11.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7456.5,5.6%
11.789,1,50.1,13.9%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7457.2,5.6%
12.29,1,48.7,17.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.0,5.6%
12.262,1,49.6,13.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.8,5.6%
12.445,1,49.1,11.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7460.8,5.5%
12.627,1,49.1,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7462.5,5.5%
12.810,1,50.1,13.9%,0,800191424,249987312,0.8600,1.1000,1.1000,1.1000,7463.4,5.5%
13.48,1,49.1,17.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.5,5.5%
13.282,1,48.7,11.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.5,5.5%
13.464,1,49.6,14.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.7,5.5%
13.646,1,50.1,11.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.5,5.5%
13.827,1,48.7,14.1%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7463.7,5.5%
14.64,1,49.1,18.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7463.8,5.5%
14.302,1,49.6,13.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.9,5.5%
14.484,1,49.1,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.9,5.5%
14.666,1,48.7,14.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.7,5.5%
14.848,1,49.6,16.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7463.9,5.5%
15.85,1,49.1,16.3%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7464.6,5.5%
15.322,1,49.1,12.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7464.4,5.5%
15.504,1,48.7,14.9%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7464.6,5.5%
15.687,1,49.1,13.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.8,5.5%
15.869,1,49.6,15.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7464.9,5.5%
16.105,1,50.1,17.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.7,5.5%
16.342,1,49.1,12.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7464.7,5.5%
16.524,1,49.6,13.7%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7464.7,5.5%
16.706,1,49.1,14.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.7,5.5%
16.888,1,50.1,13.9%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7464.7,5.5%
17.127,1,49.1,16.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.7,5.5%
17.356,1,49.1,14.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.4,5.5%
17.538,1,49.1,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.3,5.5%
17.720,1,50.1,11.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7464.1,5.5%
17.902,1,49.6,12.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7464.1,5.5%
18.135,1,49.1,18.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7463.6,5.5%
18.375,1,49.6,15.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.6,5.5%
18.557,1,50.1,14.9%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7463.3,5.5%
18.739,1,49.6,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.1,5.5%
18.921,1,49.1,13.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7463.1,5.5%
19.153,1,49.1,18.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.1,5.5%
19.403,1,49.6,15.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7463.1,5.5%
