Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,59.4,30.8%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7443.3,5.8%
0.75,1,59.4,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7442.2,5.8%
0.152,1,60.8,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7441.8,5.8%
0.228,1,59.9,30.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7441.6,5.8%
0.304,1,59.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7441.2,5.8%
0.381,1,59.9,27.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.2,5.8%
0.457,1,60.3,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7439.9,5.8%
0.533,1,59.9,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7439.4,5.8%
0.609,1,59.9,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7439.6,5.8%
0.686,1,59.4,25.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
0.762,1,60.8,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7439.5,5.8%
0.839,1,61.3,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7439.8,5.8%
0.915,1,59.9,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.3,5.8%
0.992,1,60.3,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.6,5.8%
1.68,1,60.8,32.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
1.145,1,60.8,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.6,5.8%
1.221,1,61.8,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.3,5.8%
1.298,1,61.3,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
1.376,1,61.3,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.9,5.8%
1.452,1,61.3,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.2,5.8%
1.528,1,60.8,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.2,5.8%
1.604,1,60.3,27.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7441.1,5.8%
1.682,1,61.8,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.2,5.8%
1.758,1,60.3,32.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
1.834,1,61.3,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.7,5.8%
1.910,1,60.3,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.8,5.8%
1.987,1,61.3,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
2.65,1,61.8,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.2,5.8%
2.141,1,61.3,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
2.217,1,62.8,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.3,5.8%
2.294,1,61.3,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.0,5.8%
2.370,1,61.3,30.0%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
2.447,1,62.3,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7439.9,5.8%
2.524,1,61.3,32.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.6,5.8%
2.601,1,62.3,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7439.8,5.8%
2.677,1,62.8,29.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7440.4,5.8%
2.753,1,62.3,27.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.3,5.8%
2.830,1,60.8,32.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7439.9,5.8%
2.906,1,61.3,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7439.9,5.8%
2.982,1,61.8,27.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7439.3,5.8%
3.59,1,61.3,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7439.7,5.8%
3.135,1,61.8,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
3.212,1,61.8,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7439.3,5.8%
3.289,1,62.3,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7441.7,5.8%
3.365,1,61.8,30.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7444.1,5.8%
3.441,1,61.8,24.1%,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000,7447.3,5.7%
3.541,1,62.3,30.4%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7449.5,5.7%
3.650,1,60.8,28.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7449.7,5.7%
3.733,1,61.3,32.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7447.6,5.7%
3.809,1,61.3,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7446.7,5.7%
3.887,1,62.3,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7446.3,5.7%
3.964,1,62.8,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7446.3,5.7%
4.41,1,63.3,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7444.7,5.7%
4.118,1,61.3,30.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7443.2,5.8%
4.194,1,62.8,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7442.0,5.8%
4.270,1,62.3,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.2,5.8%
4.347,1,61.8,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7440.1,5.8%
4.424,1,62.8,32.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7440.3,5.8%
4.502,1,62.3,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7442.2,5.8%
4.578,1,62.8,31.3%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7443.0,5.8%
4.655,1,61.8,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7443.2,5.8%
4.731,1,63.3,25.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7443.1,5.8%
4.807,1,62.8,30.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7443.7,5.8%
4.884,1,62.8,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7443.4,5.8%
