Time,USB Status,CPU Temperature,Throttle Status,CPU Frequency,Core Frequency,CPU Voltage,Memory Controller Voltage,Memory I/O Voltage,Memory Chip Voltage
0.15000.0,1,55.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.105313000.0,1,55.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.182163000.0,1,55.5,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.257590000.0,1,56.0,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.334063000.0,1,54.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.409666000.0,1,56.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
0.486772000.0,1,55.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.561942000.0,1,55.0,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.636936000.0,1,55.5,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
0.728992000.0,1,54.5,0,1100249984,324883296,0.8600,1.1000,1.1000,1.1000
0.841963000.0,1,55.5,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.931125000.0,1,54.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.10028000.0,1,55.0,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
1.86062000.0,1,56.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.161722000.0,1,56.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.238334000.0,1,55.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.313529000.0,1,55.5,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
1.389349000.0,1,55.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.466073000.0,1,55.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.542052000.0,1,55.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.617423000.0,1,55.5,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
1.693207000.0,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.769156000.0,1,56.0,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
1.844686000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.920071000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.996698000.0,1,56.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
2.72669000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.148615000.0,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.224059000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.304858000.0,1,56.0,0,1100249984,324870112,0.9260,1.1000,1.1000,1.1000
2.414349000.0,1,56.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.491196000.0,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.566959000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.642504000.0,1,56.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
2.718858000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.794166000.0,1,56.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.869984000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.948144000.0,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
3.24989000.0,1,57.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
3.102626000.0,1,56.9,0,1100302720,324883296,0.8600,1.1000,1.1000,1.1000
3.217968000.0,1,56.9,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
3.326177000.0,1,56.0,0,1100302720,500000992,0.9260,1.1000,1.1000,1.1000
3.427359000.0,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
3.504317000.0,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
3.579522000.0,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
3.654669000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
3.730407000.0,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
3.806041000.0,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
3.881016000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
3.957186000.0,1,56.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
4.33910000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
4.112092000.0,1,57.9,0,1100249984,324870112,0.8600,1.1000,1.1000,1.1000
4.220894000.0,1,56.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
4.296195000.0,1,56.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
4.372765000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
4.452107000.0,1,57.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
4.527192000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
4.602647000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
4.678949000.0,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
4.754071000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
4.829835000.0,1,57.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
4.904806000.0,1,56.9,0,1100302720,324870112,0.8600,1.1000,1.1000,1.1000
5.16945000.0,1,57.4,0,1200339840,349721184,0.8600,1.1000,1.1000,1.1000
5.125840000.0,1,56.9,0,1200339840,349734368,0.8600,1.1000,1.1000,1.1000
5.234055000.0,1,56.9,0,1100302720,324870112,0.8600,1.1000,1.1000,1.1000
5.345752000.0,1,56.4,0,1200287104,349721184,0.8600,1.1000,1.1000,1.1000
5.451406000.0,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
5.547190000.0,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
5.623630000.0,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
5.699820000.0,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
5.776377000.0,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
5.852135000.0,1,56.9,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
5.927902000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.4144000.0,1,57.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.83478000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.159593000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.235325000.0,1,57.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.311280000.0,1,57.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.386479000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.463202000.0,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.539530000.0,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.614919000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.690322000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.765954000.0,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.842114000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.918041000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.993355000.0,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.71200000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.147345000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.222534000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.297755000.0,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
7.372720000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.448775000.0,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
7.526394000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.602089000.0,1,57.9,0,1000265600,299768544,0.8600,1.1000,1.1000,1.1000
7.708844000.0,1,57.4,0,1100302720,324883296,0.8600,1.1000,1.1000,1.1000
7.824800000.0,1,56.9,0,1100249984,324870112,0.8600,1.1000,1.1000,1.1000
7.940319000.0,1,58.4,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
8.44193000.0,1,57.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.121803000.0,1,57.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.197188000.0,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.272683000.0,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.348741000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.424696000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.502112000.0,1,58.4,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000
8.578132000.0,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.653064000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.728676000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.804461000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.880326000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.956211000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.32058000.0,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.123163000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.199736000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.274745000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.349850000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.425600000.0,1,58.9,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
9.521923000.0,1,58.9,0,1100249984,324870112,0.8600,1.1000,1.1000,1.1000
9.633454000.0,1,58.4,0,1200339840,349734368,0.8600,1.1000,1.1000,1.1000
9.741582000.0,1,58.9,0,1100249984,324883296,0.8600,1.1000,1.1000,1.1000
9.854305000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.929504000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.4352000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.79514000.0,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
10.156840000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.232351000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.307127000.0,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.382636000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.459448000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.536871000.0,1,59.4,0,1100249984,324856928,0.8600,1.1000,1.1000,1.1000
10.639500000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.722422000.0,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
10.797821000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.873901000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.949572000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.25836000.0,1,59.9,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
11.102341000.0,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
11.179656000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.256004000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.331467000.0,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
11.407273000.0,1,59.4,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000
11.482864000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.561316000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.637752000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.713391000.0,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
11.789370000.0,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.865021000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.940893000.0,1,58.9,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000
12.17424000.0,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.92471000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.170632000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.246536000.0,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.321979000.0,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.397191000.0,1,60.8,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.473525000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.552797000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.629305000.0,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.704329000.0,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.779570000.0,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.855265000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.931233000.0,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.7304000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.82609000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.159909000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.236618000.0,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.311976000.0,1,58.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
13.387465000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.462941000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.539435000.0,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.614776000.0,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.690043000.0,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.765670000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.840703000.0,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.917925000.0,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.994878000.0,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
14.70223000.0,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
14.146637000.0,1,59.9,0,1800457088,349721184,0.8600,1.1000,1.1000,1.1000
