Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,47.2,6.7%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7479.1,5.3%
0.245,1,47.7,17.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7476.3,5.3%
0.470,1,46.2,13.7%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7473.5,5.4%
0.651,1,48.2,11.3%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7470.4,5.4%
0.831,1,47.7,12.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7467.5,5.5%
1.12,1,48.2,11.8%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7468.1,5.4%
1.248,1,46.2,18.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7466.8,5.5%
1.483,1,47.2,13.3%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7465.3,5.5%
1.664,1,47.2,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7463.8,5.5%
1.844,1,47.7,13.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7462.1,5.5%
2.24,1,47.7,13.5%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7461.0,5.5%
2.253,1,48.7,18.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.2,5.6%
2.498,1,47.2,12.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.6,5.6%
2.678,1,47.2,11.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.8,5.6%
2.858,1,48.7,14.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.6,5.6%
3.39,1,48.7,13.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7457.4,5.6%
3.275,1,47.7,17.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7457.4,5.6%
3.510,1,48.2,12.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.1,5.6%
3.691,1,48.7,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.0,5.6%
3.871,1,48.2,13.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.6,5.6%
4.51,1,48.7,13.2%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7456.7,5.6%
4.285,1,48.2,17.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.5,5.6%
4.522,1,47.7,15.4%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7457.0,5.6%
4.702,1,47.7,13.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.6,5.6%
4.881,1,49.1,11.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.7,5.6%
5.61,1,47.2,9.9%,0,800244160,250000496,0.8500,1.1000,1.1000,1.1000,7456.3,5.6%
5.292,1,47.2,16.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.5,5.6%
5.536,1,48.7,12.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.7,5.6%
5.718,1,48.2,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.0,5.6%
5.897,1,47.7,13.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.7,5.6%
