Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,41.8,7.7%,0,900175808,500000992,0.9160,1.1000,1.1000,1.1000,7475.2,5.4%
0.225,1,42.3,15.4%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7473.9,5.4%
0.404,1,41.8,16.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7471.9,5.4%
0.584,1,42.3,14.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7469.8,5.4%
0.764,1,41.8,11.4%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7468.2,5.4%
0.986,1,42.3,20.6%,0,700154304,224951664,0.8500,1.1000,1.1000,1.1000,7465.3,5.5%
1.240,1,41.3,17.8%,0,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7463.3,5.5%
1.475,1,41.3,15.9%,0,1000265600,299768544,0.8500,1.1000,1.1000,1.1000,7462.3,5.5%
1.704,1,40.9,16.7%,0,700154304,224951664,0.9160,1.1000,1.1000,1.1000,7461.6,5.5%
1.949,1,42.8,14.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7460.5,5.5%
2.128,1,42.8,13.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.3,5.6%
2.307,1,41.8,10.1%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.9,5.6%
2.486,1,42.3,12.5%,0,800244160,250000496,0.8500,1.1000,1.1000,1.1000,7459.5,5.6%
2.700,1,42.3,15.1%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7459.3,5.6%
2.941,1,42.3,17.5%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.7,5.6%
3.175,1,42.8,12.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.4,5.6%
3.354,1,41.8,15.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.2,5.6%
3.533,1,42.3,13.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.5,5.6%
3.712,1,42.3,12.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7458.7,5.6%
3.940,1,42.8,17.4%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.4,5.6%
4.187,1,42.8,9.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.2,5.6%
4.367,1,43.8,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.5,5.6%
4.546,1,43.8,13.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7457.7,5.6%
4.725,1,43.8,13.5%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7458.0,5.6%
4.956,1,42.8,19.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.5,5.6%
5.202,1,42.8,13.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.0,5.6%
5.381,1,42.8,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.4,5.6%
5.561,1,42.8,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.4,5.6%
5.741,1,43.3,13.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7458.0,5.6%
5.973,1,42.8,16.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.1,5.6%
6.218,1,42.8,12.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7457.2,5.6%
6.398,1,42.8,13.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7456.6,5.6%
6.578,1,42.8,12.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7456.9,5.6%
6.758,1,43.8,13.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7457.4,5.6%
6.988,1,43.8,19.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.0,5.6%
7.236,1,42.8,13.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.8,5.6%
7.415,1,43.3,11.3%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7456.0,5.6%
7.595,1,42.8,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.9,5.6%
7.775,1,43.8,15.6%,0,800244160,249987312,0.8500,1.1000,1.1000,1.1000,7456.4,5.6%
8.7,1,42.3,20.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.9,5.6%
8.249,1,43.8,13.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.1,5.6%
8.428,1,44.3,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.1,5.6%
8.608,1,43.3,13.7%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7456.2,5.6%
8.787,1,43.8,13.5%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7456.1,5.6%
9.18,1,42.8,19.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7455.2,5.6%
9.259,1,44.3,12.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7455.4,5.6%
9.439,1,43.3,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.1,5.6%
9.618,1,44.3,15.1%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7454.9,5.6%
9.797,1,43.8,15.8%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7455.4,5.6%
10.28,1,41.8,19.5%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7455.3,5.6%
10.270,1,44.3,13.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7454.7,5.6%
10.449,1,43.8,13.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7454.4,5.6%
10.628,1,44.3,12.5%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7454.4,5.6%
10.808,1,43.8,16.9%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7454.7,5.6%
11.39,1,42.8,19.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7454.3,5.6%
11.281,1,43.3,14.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7454.1,5.6%
11.460,1,44.3,12.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7454.5,5.6%
11.639,1,43.8,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.9,5.6%
11.818,1,43.8,13.5%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7453.6,5.6%
12.48,1,43.8,16.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.7,5.6%
12.227,1,44.3,12.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7453.7,5.6%
12.407,1,43.8,11.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.7,5.6%
12.586,1,44.3,12.3%,0,1800457088,500000992,0.8500,1.1000,1.1000,1.1000,7453.8,5.6%
12.791,1,44.8,16.1%,0,1100302720,324883296,0.8500,1.1000,1.1000,1.1000,7453.6,5.6%
13.27,1,43.8,18.1%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7453.1,5.6%
13.274,1,43.8,15.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.2,5.6%
13.506,1,43.8,15.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.8,5.6%
13.685,1,43.8,11.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.8,5.6%
13.865,1,43.3,12.5%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7453.1,5.6%
14.45,1,44.8,14.7%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7452.9,5.6%
14.276,1,43.8,16.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.9,5.6%
14.519,1,43.8,12.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.5,5.6%
14.699,1,44.3,14.9%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7452.4,5.6%
14.878,1,44.8,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.1,5.7%
15.57,1,44.8,15.8%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7452.5,5.6%
15.288,1,42.8,18.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7451.7,5.7%
15.530,1,44.3,13.5%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7451.5,5.7%
15.710,1,43.8,13.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7451.5,5.7%
15.890,1,44.3,10.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7451.7,5.7%
16.69,1,43.3,15.4%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7452.0,5.7%
16.304,1,43.3,17.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7451.7,5.7%
16.539,1,44.3,13.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7451.0,5.7%
16.718,1,44.3,12.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7450.7,5.7%
16.897,1,44.3,13.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7450.8,5.7%
17.77,1,44.3,14.7%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7451.3,5.7%
17.307,1,43.3,17.3%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7450.5,5.7%
17.554,1,44.3,15.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7450.3,5.7%
17.733,1,44.3,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7450.4,5.7%
17.912,1,44.8,11.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7450.1,5.7%
18.91,1,43.3,13.7%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7450.4,5.7%
18.323,1,43.3,18.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7450.7,5.7%
18.568,1,43.8,12.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7450.4,5.7%
18.748,1,43.8,13.9%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7450.1,5.7%
18.928,1,44.3,13.7%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7449.9,5.7%
19.107,1,44.3,13.5%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7449.8,5.7%
19.338,1,44.3,20.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7449.4,5.7%
19.580,1,43.3,12.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7449.2,5.7%
19.760,1,44.3,11.4%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7449.2,5.7%
19.939,1,45.7,12.5%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7448.9,5.7%
20.118,1,45.7,16.0%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7449.8,5.7%
20.347,1,43.3,20.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.9,5.7%
20.594,1,44.3,14.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.9,5.7%
