Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,37.4,10.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7467.5,5.5%
0.216,1,37.9,18.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7464.7,5.5%
0.400,1,37.9,13.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7475.7,5.4%
0.599,1,37.9,26.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7480.3,5.3%
0.841,1,37.4,17.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7477.4,5.3%
1.93,1,38.4,17.8%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7473.8,5.4%
1.317,1,37.9,17.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7470.7,5.4%
1.501,1,38.4,13.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7467.4,5.5%
1.687,1,38.9,14.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7465.3,5.5%
1.871,1,37.4,17.0%,0,800191424,499987808,0.9260,1.1000,1.1000,1.1000,7463.4,5.5%
2.107,1,37.9,15.2%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7462.0,5.5%
2.292,1,38.4,14.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.8,5.6%
2.476,1,37.4,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.0,5.6%
2.661,1,38.4,13.9%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7457.5,5.6%
2.901,1,37.9,18.6%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7455.9,5.6%
3.127,1,37.9,15.8%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7454.7,5.6%
3.310,1,38.4,13.9%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7454.0,5.6%
3.495,1,38.4,14.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.1,5.6%
3.679,1,38.4,18.0%,0,800191424,500000992,0.9260,1.1000,1.1000,1.1000,7454.3,5.6%
3.915,1,37.9,13.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7453.5,5.6%
4.99,1,38.9,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.0,5.6%
4.284,1,38.4,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7453.4,5.6%
4.468,1,39.4,17.5%,0,900228544,274680160,0.8600,1.1000,1.1000,1.1000,7453.6,5.6%
4.699,1,38.4,18.6%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7455.4,5.6%
4.933,1,38.4,14.3%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7456.1,5.6%
5.117,1,37.9,13.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7457.5,5.6%
5.302,1,38.9,13.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7458.9,5.6%
5.486,1,38.9,16.0%,0,900228544,274680160,0.8600,1.1000,1.1000,1.1000,7458.9,5.6%
5.721,1,38.9,16.8%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7457.9,5.6%
5.952,1,38.4,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7456.0,5.6%
6.136,1,38.9,12.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.9,5.6%
6.319,1,38.9,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.2,5.6%
6.503,1,38.4,14.1%,0,800191424,500000992,0.9260,1.1000,1.1000,1.1000,7452.3,5.6%
6.740,1,40.4,16.2%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7452.2,5.6%
6.923,1,39.4,15.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.5,5.6%
7.107,1,38.9,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.3,5.6%
7.290,1,38.9,13.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7452.1,5.7%
7.530,1,38.4,19.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.3,5.6%
7.762,1,39.9,16.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.2,5.6%
7.946,1,38.9,12.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7452.2,5.6%
8.130,1,38.4,13.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7451.7,5.7%
8.315,1,38.4,16.5%,0,900228544,274680160,0.9260,1.1000,1.1000,1.1000,7452.0,5.7%
