Time,USB Status,CPU Utilization,CPU Temperature,Throttle Status,CPU Frequency,Core Frequency,CPU Voltage,Memory Controller Voltage,Memory I/O Voltage,Memory Chip Voltage
0.0,1,48.2,22.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7470.1,5.4
0.71,0,47.2,30.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7467.8,5.5
0.143,0,47.7,28.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7466.9,5.5
0.214,0,48.7,28.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7465.8,5.5
0.286,0,47.7,28.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7465.0,5.5
0.357,0,47.7,25.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.8,5.5
0.429,0,49.1,25.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7462.4,5.5
0.500,0,49.1,28.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7461.2,5.5
0.571,0,48.7,32.3%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7459.6,5.6
0.643,0,48.7,25.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7458.8,5.6
0.714,0,48.2,35.5%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7458.5,5.6
0.786,0,49.1,31.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7457.8,5.6
0.857,0,49.1,33.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7457.6,5.6
0.929,0,48.2,31.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.9,5.6
0.1000,0,49.1,25.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.9,5.6
1.71,0,48.7,33.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.6,5.6
1.143,0,48.2,31.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.6,5.6
1.215,0,48.7,33.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.5,5.6
1.286,0,49.1,23.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.5,5.6
1.358,0,48.7,22.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.4,5.6
1.430,0,50.1,25.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.8,5.6
1.501,0,49.6,27.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.3,5.6
1.572,0,50.1,32.1%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.3,5.6
1.644,0,49.1,28.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.8,5.6
1.715,0,49.6,31.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7453.9,5.6
1.786,0,49.6,27.6%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7454.2,5.6
1.858,0,48.2,25.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.5,5.6
1.930,0,50.1,28.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.7,5.6
2.1,0,49.1,28.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.6,5.6
2.72,0,48.7,33.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.6,5.6
2.145,0,49.6,33.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.1,5.6
2.216,0,49.6,23.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.0,5.6
2.288,0,48.7,25.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.1,5.6
2.359,0,49.1,28.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.9,5.6
2.432,0,48.7,28.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.3,5.6
2.503,0,49.6,28.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.0,5.6
2.575,0,49.6,31.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.6,5.6
2.646,0,48.7,23.1%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7452.8,5.6
2.717,0,49.1,25.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.3,5.6
2.789,0,49.1,28.1%,0,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7898.4,7453.2,5.6
2.887,0,49.1,29.3%,0,1100249984,324883296,0.8500,1.1000,1.1000,1.1000,7898.4,7454.7,5.6
2.994,0,49.6,29.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.3,5.6
3.65,0,50.6,33.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.0,5.6
3.138,0,50.1,25.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.0,5.6
3.209,0,50.1,25.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.0,5.6
