Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,51.1,98.0%,50005,600117184,200008304,0.8500,1.1000,1.1000,1.1000,7064.0,10.6%
0.352,1,51.6,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,6973.0,11.7%
0.702,1,51.6,100.0%,50005,600169920,200008304,0.8500,1.1000,1.1000,1.1000,6868.2,13.0%
1.80,1,50.6,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,6786.4,14.1%
1.402,1,52.1,100.0%,50005,600169920,200008304,0.8500,1.1000,1.1000,1.1000,6981.2,11.6%
1.734,1,51.1,98.6%,50005,600117184,200008304,0.8500,1.1000,1.1000,1.1000,6897.3,12.7%
2.131,1,52.1,100.0%,50005,600117184,500000992,0.9160,1.1000,1.1000,1.1000,6794.0,14.0%
2.449,1,52.5,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,6708.0,15.1%
2.812,1,52.1,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,6718.8,14.9%
3.271,1,52.1,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,7266.0,8.0%
3.712,1,51.6,98.8%,50005,600117184,200008304,0.8500,1.1000,1.1000,1.1000,7266.2,8.0%
4.3,1,52.1,99.1%,50005,600169920,200008304,0.8500,1.1000,1.1000,1.1000,7190.9,9.0%
4.382,1,51.1,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,7108.7,10.0%
4.747,1,51.6,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,7011.5,11.2%
5.107,1,51.6,100.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6922.2,12.4%
5.319,1,53.5,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,6847.8,13.3%
5.652,1,52.1,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,6937.1,12.2%
5.931,1,51.6,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,6963.5,11.8%
6.411,1,52.1,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,6873.5,13.0%
6.812,1,52.1,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,6829.8,13.5%
