Time,USB Status,CPU Temperature,Throttle Status,CPU Frequency,Core Frequency,CPU Voltage,Memory Controller Voltage,Memory I/O Voltage,Memory Chip Voltage
0.0,0,42.3,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
0.84,0,40.9,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
0.155,0,40.9,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
0.225,0,41.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
0.295,0,42.3,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000
0.366,0,41.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
0.436,0,41.8,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000
0.506,0,41.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
0.577,0,41.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
0.648,0,42.3,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000
0.741,0,41.3,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000
0.844,0,41.8,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000
0.947,0,41.8,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000
1.53,0,41.3,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000
1.159,0,41.3,50000,1000265600,299768544,0.8500,1.1000,1.1000,1.1000
1.272,0,43.3,50000,1000265600,299768544,0.8500,1.1000,1.1000,1.1000
1.388,0,41.3,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000
1.486,0,41.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
1.556,0,41.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
1.627,0,41.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
1.699,0,42.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
1.770,0,42.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
1.840,0,43.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
1.911,0,42.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
1.983,0,42.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.54,0,42.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.124,0,42.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.194,0,42.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.265,0,42.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
2.335,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.406,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.478,0,42.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.549,0,42.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.620,0,42.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.692,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.762,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
2.833,0,43.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
2.909,0,43.3,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000
3.3,0,43.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
3.74,0,42.3,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
3.144,0,43.3,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
3.216,0,43.3,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
3.287,0,42.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
3.357,0,44.3,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000
3.429,0,44.3,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
3.501,0,43.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
3.572,0,44.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
3.643,0,43.8,50000,1800404352,500000992,0.8500,1.1000,1.1000,1.1000
3.723,0,43.8,50000,1200287104,349734368,0.8500,1.1000,1.1000,1.1000
3.822,0,42.8,50000,1200339840,349734368,0.8500,1.1000,1.1000,1.1000
3.921,0,42.8,50000,1200339840,349721184,0.8500,1.1000,1.1000,1.1000
4.23,0,42.8,50000,1100249984,324870112,0.9160,1.1000,1.1000,1.1000
4.120,0,43.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
4.191,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
4.261,0,44.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
4.332,0,43.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
4.403,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
4.474,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
4.546,0,44.3,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
4.617,0,44.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
4.688,0,43.8,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000
4.759,0,44.3,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000
4.830,0,43.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
4.901,0,44.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
4.973,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.45,0,44.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
5.116,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.188,0,43.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
5.258,0,43.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.328,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.399,0,43.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.471,0,45.7,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
5.542,0,44.3,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
5.613,0,44.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.684,0,43.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
5.755,0,44.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.830,0,44.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.900,0,44.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
5.971,0,44.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
6.42,0,45.7,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
6.113,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
6.183,0,43.8,50000,1200339840,349734368,0.8500,1.1000,1.1000,1.1000
6.271,0,44.8,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000
6.370,0,44.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
6.455,0,44.3,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000
6.526,0,45.2,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
6.597,0,44.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
6.668,0,44.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
6.739,0,44.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
6.810,0,44.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
6.881,0,45.2,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000
6.952,0,45.2,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000
7.24,0,44.3,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.94,0,45.2,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
7.165,0,45.2,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
7.236,0,44.8,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.307,0,45.2,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
7.378,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.448,0,45.7,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.520,0,45.7,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.591,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.663,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.734,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
7.805,0,45.7,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
7.876,0,44.8,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
7.947,0,45.2,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
8.19,0,45.7,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000
8.89,0,45.7,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000
