Time,USB Status,CPU Temperature,Throttle Status,CPU Frequency,Core Frequency,CPU Voltage,Memory Controller Voltage,Memory I/O Voltage,Memory Chip Voltage
5.887,1,58.9,0,1200287104,349721184,0.8600,1.1000,1.1000,1.1000
5.991,1,57.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.66,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.142,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.218,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.295,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.370,1,58.9,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
6.448,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
6.524,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.599,1,57.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
6.674,1,57.9,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
6.774,1,59.4,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
6.881,1,58.4,0,1100249984,324883296,0.8600,1.1000,1.1000,1.1000
6.994,1,57.4,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
7.100,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.177,1,57.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
7.252,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.330,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.405,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.483,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.559,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.635,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
7.711,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
7.787,1,58.4,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
7.887,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
7.969,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.45,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.120,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.196,1,59.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
8.272,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.349,1,58.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
8.425,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.504,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.579,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.655,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.731,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.806,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
8.884,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
8.959,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.35,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.111,1,58.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.187,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.264,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.341,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
9.416,1,58.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
9.493,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.569,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.645,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.722,1,60.8,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.805,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
9.880,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
9.955,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.37,1,58.9,0,1100249984,324870112,0.9260,1.1000,1.1000,1.1000
10.143,1,58.9,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000
10.219,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.295,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
10.372,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.448,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.525,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.602,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.678,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.754,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.831,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.907,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
10.983,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.58,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
11.136,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.211,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
11.287,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.365,1,60.8,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
