Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,42.8,6.4%,0,900228544,274680160,0.9260,1.1000,1.1000,1.1000,7478.2,5.3%
0.237,1,41.8,14.8%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7475.0,5.4%
0.417,1,41.3,10.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7471.9,5.4%
0.597,1,42.8,12.5%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7468.8,5.4%
0.776,1,42.3,11.4%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7466.4,5.5%
0.990,1,41.8,17.5%,0,900175808,274680160,0.8600,1.1000,1.1000,1.1000,7463.5,5.5%
1.232,1,42.8,17.8%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7460.8,5.5%
1.479,1,42.8,14.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.4,5.6%
1.658,1,41.8,11.4%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7458.1,5.6%
1.838,1,42.3,10.1%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7457.2,5.6%
2.18,1,42.3,12.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7457.6,5.6%
2.248,1,43.3,15.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7456.8,5.6%
2.484,1,42.8,15.4%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7456.4,5.6%
2.663,1,43.3,11.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7456.2,5.6%
2.843,1,43.3,11.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7456.4,5.6%
3.23,1,44.3,12.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7457.2,5.6%
3.254,1,43.3,17.1%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7456.1,5.6%
3.499,1,43.3,12.2%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7456.0,5.6%
3.679,1,43.3,13.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7456.5,5.6%
3.858,1,43.3,11.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7455.9,5.6%
4.38,1,43.3,12.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7456.8,5.6%
4.269,1,43.8,18.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.5,5.6%
4.512,1,44.8,13.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.8,5.6%
4.692,1,43.8,12.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7460.0,5.5%
4.873,1,43.8,13.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7460.7,5.5%
5.55,1,44.3,13.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7461.3,5.5%
5.289,1,43.3,20.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7459.9,5.6%
5.525,1,43.3,15.6%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.5,5.6%
5.704,1,43.8,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7460.0,5.6%
5.883,1,44.3,12.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7462.0,5.5%
6.64,1,43.3,11.1%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7464.2,5.5%
6.296,1,42.8,19.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7462.0,5.5%
6.533,1,44.3,14.3%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7460.2,5.5%
6.713,1,43.8,12.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7457.9,5.6%
6.893,1,44.8,12.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7455.9,5.6%
7.73,1,43.8,12.5%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7456.3,5.6%
7.302,1,44.3,16.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7455.5,5.6%
7.549,1,44.3,13.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7455.4,5.6%
7.729,1,44.8,13.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7455.1,5.6%
7.909,1,45.2,15.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.9,5.6%
8.89,1,44.3,14.7%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7455.5,5.6%
8.319,1,43.3,19.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7455.2,5.6%
8.566,1,44.8,13.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.8,5.6%
8.746,1,44.8,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.5,5.6%
8.926,1,44.3,11.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.0,5.6%
9.105,1,44.8,13.5%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7455.1,5.6%
9.337,1,44.8,15.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.4,5.6%
9.581,1,45.7,13.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7453.8,5.6%
9.762,1,45.2,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7454.6,5.6%
9.942,1,44.8,13.9%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7454.2,5.6%
10.122,1,45.2,13.2%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7453.8,5.6%
10.355,1,44.8,16.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7453.6,5.6%
10.593,1,45.2,13.2%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7453.1,5.6%
10.772,1,44.8,13.9%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7453.8,5.6%
10.952,1,44.8,12.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7453.1,5.6%
11.131,1,45.7,12.5%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7453.4,5.6%
11.361,1,43.8,21.6%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.9,5.6%
11.607,1,44.8,10.8%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7452.9,5.6%
11.788,1,44.8,12.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7453.0,5.6%
11.967,1,44.8,13.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7453.1,5.6%
12.147,1,44.8,14.7%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7453.3,5.6%
12.377,1,45.2,15.4%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7453.1,5.6%
12.614,1,44.8,13.2%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7452.5,5.6%
12.794,1,46.2,13.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7451.8,5.7%
12.974,1,46.2,14.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.0,5.7%
13.154,1,44.3,12.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7452.3,5.6%
13.385,1,45.2,20.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.0,5.7%
13.629,1,45.7,11.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7452.0,5.7%
13.810,1,44.8,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7451.7,5.7%
13.990,1,45.7,13.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7451.7,5.7%
14.169,1,46.7,13.5%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7451.9,5.7%
14.398,1,45.2,18.9%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7451.4,5.7%
14.645,1,46.2,13.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7450.8,5.7%
14.825,1,45.7,13.7%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7451.2,5.7%
15.5,1,45.7,12.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7451.0,5.7%
15.184,1,46.2,11.1%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7451.3,5.7%
15.415,1,45.2,20.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7451.3,5.7%
15.662,1,46.2,13.2%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7450.7,5.7%
15.841,1,46.7,11.4%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7450.6,5.7%
16.20,1,46.7,12.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7450.8,5.7%
16.200,1,45.7,13.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7450.9,5.7%
16.430,1,45.2,19.6%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7450.4,5.7%
16.679,1,46.2,10.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7450.4,5.7%
16.859,1,45.2,13.7%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7450.4,5.7%
17.38,1,46.2,12.7%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7450.1,5.7%
17.218,1,46.7,12.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7450.5,5.7%
17.449,1,44.8,18.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7449.9,5.7%
17.697,1,45.7,13.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7449.7,5.7%
17.876,1,46.2,11.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7449.7,5.7%
18.55,1,45.7,13.9%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7449.4,5.7%
18.235,1,46.7,15.8%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7450.1,5.7%
18.466,1,45.7,18.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7449.8,5.7%
18.710,1,46.2,12.2%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7449.6,5.7%
18.890,1,46.2,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7449.2,5.7%
19.70,1,45.7,12.7%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7449.0,5.7%
19.250,1,46.2,12.3%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7449.4,5.7%
19.479,1,46.2,13.8%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7448.5,5.7%
19.658,1,45.7,15.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7448.9,5.7%
19.837,1,47.2,11.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7449.1,5.7%
20.17,1,47.2,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7449.0,5.7%
20.213,1,46.2,16.3%,0,1200287104,349721184,0.8600,1.1000,1.1000,1.1000,7448.7,5.7%
20.448,1,46.2,19.6%,0,1000265600,299768544,0.8600,1.1000,1.1000,1.1000,7448.9,5.7%
20.679,1,45.7,15.8%,0,700154304,224951664,0.9260,1.1000,1.1000,1.1000,7448.5,5.7%
20.921,1,46.2,15.7%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7448.0,5.7%
21.101,1,45.7,8.8%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7448.1,5.7%
21.280,1,45.2,12.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7448.1,5.7%
