Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (Mb)
9.420,1,54.0,28.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.7,5.7
9.498,1,54.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.7,5.7
9.575,1,55.5,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.2,5.7
9.654,1,54.5,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.8,5.6
9.732,1,55.0,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.3,5.6
9.809,1,55.0,27.0%,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7455.8,5.6
9.922,1,54.5,30.8%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.2,5.6
9.1000,1,54.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.0,5.6
10.77,1,54.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.3,5.6
10.156,1,55.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.7,5.6
10.234,1,54.5,31.2%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7452.7,5.6
10.311,1,54.5,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.1,5.7
10.389,1,54.0,33.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.5,5.7
10.466,1,55.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.7,5.7
10.544,1,54.0,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.9,5.7
10.625,1,56.0,25.0%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7451.0,5.7
10.734,1,55.0,31.9%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7452.6,5.6
10.849,1,54.5,26.7%,50000,1100249984,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7452.7,5.6
10.962,1,53.5,31.8%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7452.3,5.6
11.74,1,54.0,28.3%,50000,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7898.4,7451.2,5.7
11.185,1,54.0,28.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.0,5.7
11.274,1,53.5,24.1%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7449.6,5.7
11.352,1,55.0,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.0,5.7
11.430,1,54.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.5,5.7
11.508,1,54.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.5,5.6
11.586,1,54.5,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.8,5.6
11.664,1,55.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.2,5.6
11.742,1,54.0,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.0,5.6
11.820,1,54.5,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.8,5.7
11.896,1,54.5,26.7%,50000,1100249984,324883296,0.8500,1.1000,1.1000,1.1000,7898.4,7450.9,5.7
11.996,1,54.5,31.9%,50000,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7898.4,7450.2,5.7
12.107,1,53.5,27.9%,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7448.8,5.7
12.222,1,54.0,25.6%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7447.6,5.7
12.304,1,55.0,28.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.0,5.7
12.382,1,55.0,29.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7446.6,5.7
12.459,1,55.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.0,5.7
12.537,1,56.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.9,5.7
12.614,1,55.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.6,5.7
12.692,1,54.0,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7446.2,5.7
12.771,1,55.0,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.8,5.7
12.849,1,55.0,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.6,5.7
12.926,1,55.5,26.5%,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7446.4,5.7
13.35,1,54.5,31.9%,50000,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7898.4,7446.2,5.7
13.145,1,55.0,27.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.4,5.7
13.223,1,55.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.5,5.7
13.301,1,55.0,26.7%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7446.2,5.7
13.378,1,54.0,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.0,5.7
13.455,1,55.5,33.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.2,5.7
13.533,1,54.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.9,5.7
13.611,1,55.0,26.7%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7445.8,5.7
13.693,1,56.4,27.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.5,5.7
13.771,1,55.5,25.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.6,5.7
13.849,1,54.5,25.8%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.6,5.7
13.926,1,55.0,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.4,5.7
14.4,1,55.0,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.6,5.7
14.81,1,54.0,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.7,5.7
14.159,1,56.0,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.6,5.7
14.237,1,56.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.8,5.7
14.314,1,55.5,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.4,5.7
14.392,1,55.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.6,5.7
14.469,1,54.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.6,5.7
14.547,1,54.5,26.5%,50000,1200339840,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7446.4,5.7
14.652,1,56.0,31.1%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7446.4,5.7
14.761,1,54.5,29.5%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7446.7,5.7
14.871,1,54.5,28.9%,50000,1100249984,324883296,0.8500,1.1000,1.1000,1.1000,7898.4,7447.4,5.7
14.986,1,54.5,29.5%,50000,1200287104,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.8,5.7
15.84,1,55.0,27.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
15.161,1,55.5,31.3%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
15.240,1,55.0,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
15.316,1,55.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.6,5.7
15.394,1,54.5,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.8,5.7
15.471,1,54.5,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.6,5.7
15.550,1,55.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.6,5.7
15.628,1,55.5,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.6,5.7
15.706,1,55.0,29.0%,50000,1800404352,500000992,0.8500,1.1000,1.1000,1.1000,7898.4,7448.6,5.7
15.798,1,54.0,31.3%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7448.7,5.7
15.920,1,54.5,25.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.7,5.7
16.13,1,55.0,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.7,5.7
16.89,1,56.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.7,5.7
16.166,1,54.5,27.6%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.5,5.7
16.243,1,55.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.0,5.7
16.322,1,54.5,30.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.2,5.7
16.400,1,54.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.2,5.7
16.477,1,54.5,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.2,5.7
16.555,1,55.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.6,5.7
16.632,1,55.5,26.7%,50000,1000265600,299755360,0.8500,1.1000,1.1000,1.1000,7898.4,7449.4,5.7
16.734,1,56.0,26.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.1,5.7
16.828,1,54.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.1,5.7
16.906,1,55.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.7,5.7
16.984,1,55.5,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.0,5.7
17.62,1,55.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.0,5.7
17.140,1,55.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.7,5.7
17.217,1,54.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.8,5.7
17.294,1,55.5,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.4,5.7
17.372,1,55.5,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.6,5.7
17.449,1,56.0,25.8%,50000,1000212864,299768544,0.8500,1.1000,1.1000,1.1000,7898.4,7450.4,5.7
17.557,1,55.5,28.6%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7450.4,5.7
17.676,1,54.5,33.3%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7450.4,5.7
17.785,1,55.5,28.9%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.5,5.7
17.862,1,55.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.0,5.7
17.940,1,56.0,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.2,5.7
18.17,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.0,5.7
